"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"nivea","100K+","July 23, 2026 at 11:10:00 AM UTC-4",,"nivea","./explore?q=nivea&geo=US"
"aaron lee tasjan concert walkout","100K+","July 23, 2026 at 9:30:00 AM UTC-4",,"aaron lee tasjan concert walkout","./explore?q=aaron%20lee%20tasjan%20concert%20walkout&geo=US"
"johnny depp","20K+","July 23, 2026 at 7:50:00 PM UTC-4",,"johnny depp,ebenezer,ebenezer movie,ebenezer 2026","./explore?q=johnny%20depp&geo=US"
"chris anne affleck passing","10K+","July 24, 2026 at 2:20:00 AM UTC-4",,"chris anne affleck passing,ben affleck,casey affleck","./explore?q=chris%20anne%20affleck%20passing&geo=US"
"david lee roth","10K+","July 23, 2026 at 11:00:00 PM UTC-4",,"david lee roth","./explore?q=david%20lee%20roth&geo=US"
"meghan markle instagram family photos","20K+","July 23, 2026 at 5:30:00 PM UTC-4",,"meghan markle instagram family photos,meghan markle posted family photos from their european summer holiday,photo,meghan markle summer holiday photos,meghan markle uk summer holiday,family","./explore?q=meghan%20markle%20instagram%20family%20photos&geo=US"
"avatar seven havens","20K+","July 23, 2026 at 5:30:00 PM UTC-4",,"avatar seven havens","./explore?q=avatar%20seven%20havens&geo=US"
"hairstyle","10K+","July 23, 2026 at 6:40:00 PM UTC-4",,"hairstyle","./explore?q=hairstyle&geo=US"
"a toxic love story netflix","20K+","July 23, 2026 at 3:20:00 PM UTC-4",,"a toxic love story netflix,ian diaz,michelle hadley,a toxic love story","./explore?q=a%20toxic%20love%20story%20netflix&geo=US"
"hulk hogan","10K+","July 23, 2026 at 5:30:00 PM UTC-4",,"hulk hogan","./explore?q=hulk%20hogan&geo=US"
"cecily tynan","10K+","July 23, 2026 at 6:20:00 PM UTC-4",,"cecily tynan,how old is cecily tynan","./explore?q=cecily%20tynan&geo=US"
"affray","2K+","July 24, 2026 at 8:10:00 AM UTC-4",,"affray,chris brown","./explore?q=affray&geo=US"
"bradley pierce on robin williams","5K+","July 23, 2026 at 2:20:00 PM UTC-4",,"bradley pierce on robin williams","./explore?q=bradley%20pierce%20on%20robin%20williams&geo=US"
