"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"playstation","5K+","July 24, 2026 at 7:00:00 AM UTC-4","July 24, 2026 at 8:20:00 AM UTC-4","playstation,playstation servers,is playstation network down,playstation network status,playstation network,psn down,playstation servers down,are playstation servers down,is psn down","./explore?q=playstation&geo=US"
"halo campaign evolved review","5K+","July 23, 2026 at 6:40:00 PM UTC-4","July 24, 2026 at 4:00:00 AM UTC-4","halo campaign evolved review,halo campaign evolved release date","./explore?q=halo%20campaign%20evolved%20review&geo=US"
"marie bouzkova","1K+","July 24, 2026 at 7:50:00 AM UTC-4","July 24, 2026 at 9:10:00 AM UTC-4","marie bouzkova,hugo gaston,jaime faria","./explore?q=marie%20bouzkova&geo=US"
"marvel tokon open beta","1K+","July 24, 2026 at 12:50:00 AM UTC-4","July 24, 2026 at 4:10:00 AM UTC-4","marvel tokon open beta","./explore?q=marvel%20tokon%20open%20beta&geo=US"
"sports market","200+","July 24, 2026 at 3:30:00 AM UTC-4","July 24, 2026 at 4:40:00 AM UTC-4","sports market","./explore?q=sports%20market&geo=US"
"fortnite","2K+","July 23, 2026 at 8:20:00 PM UTC-4","July 23, 2026 at 9:30:00 PM UTC-4","fortnite","./explore?q=fortnite&geo=US"
"lotería nacional","1K+","July 23, 2026 at 9:40:00 PM UTC-4","July 23, 2026 at 10:20:00 PM UTC-4","lotería nacional","./explore?q=loter%C3%ADa%20nacional&geo=US"
"riot","1K+","July 23, 2026 at 6:20:00 PM UTC-4","July 23, 2026 at 7:00:00 PM UTC-4","riot","./explore?q=riot&geo=US"
"score","200+","July 24, 2026 at 4:10:00 AM UTC-4","July 24, 2026 at 4:30:00 AM UTC-4","score","./explore?q=score&geo=US"
"fc 27","500+","July 23, 2026 at 12:50:00 PM UTC-4","July 23, 2026 at 1:20:00 PM UTC-4","fc 27","./explore?q=fc%2027&geo=US"
