"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"brown bullhead catfish cancer","20K+","July 23, 2026 at 1:00:00 PM UTC-4","July 24, 2026 at 6:40:00 AM UTC-4","brown bullhead catfish cancer,bullhead catfish cancer","./explore?q=brown%20bullhead%20catfish%20cancer&geo=US"
"walmart enhomee dresser recall","20K+","July 23, 2026 at 3:30:00 PM UTC-4","July 24, 2026 at 9:20:00 AM UTC-4","walmart enhomee dresser recall","./explore?q=walmart%20enhomee%20dresser%20recall&geo=US"
"kitchen cabinet color alternatives 2026","2K+","July 23, 2026 at 12:00:00 PM UTC-4","July 23, 2026 at 5:20:00 PM UTC-4","kitchen cabinet color alternatives 2026","./explore?q=kitchen%20cabinet%20color%20alternatives%202026&geo=US"
"science","500+","July 24, 2026 at 3:10:00 AM UTC-4","July 24, 2026 at 5:00:00 AM UTC-4","science","./explore?q=science&geo=US"
"princess","2K+","July 23, 2026 at 4:20:00 PM UTC-4","July 23, 2026 at 6:40:00 PM UTC-4","princess","./explore?q=princess&geo=US"
"camping news","200+","July 24, 2026 at 3:30:00 AM UTC-4","July 24, 2026 at 4:40:00 AM UTC-4","camping news","./explore?q=camping%20news&geo=US"
"jackie update","1K+","July 23, 2026 at 7:50:00 PM UTC-4","July 23, 2026 at 9:00:00 PM UTC-4","jackie update","./explore?q=jackie%20update&geo=US"
"coffee news","200+","July 24, 2026 at 4:00:00 AM UTC-4","July 24, 2026 at 4:30:00 AM UTC-4","coffee news","./explore?q=coffee%20news&geo=US"
"camera news","200+","July 24, 2026 at 4:10:00 AM UTC-4","July 24, 2026 at 4:30:00 AM UTC-4","camera news","./explore?q=camera%20news&geo=US"
"richard carapaz","500+","July 23, 2026 at 11:40:00 AM UTC-4","July 23, 2026 at 12:20:00 PM UTC-4","richard carapaz","./explore?q=richard%20carapaz&geo=US"
"greenville zoo","500+","July 23, 2026 at 1:10:00 PM UTC-4","July 23, 2026 at 1:30:00 PM UTC-4","greenville zoo","./explore?q=greenville%20zoo&geo=US"
