"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"shiloh hendrix","5K+","July 24, 2026 at 12:10:00 AM UTC-4",,"shiloh hendrix","./explore?q=shiloh%20hendrix&geo=US"
"drone","2K+","July 24, 2026 at 4:20:00 AM UTC-4",,"drone","./explore?q=drone&geo=US"
"kenmore air plane crashes","10K+","July 24, 2026 at 2:40:00 AM UTC-4",,"kenmore air plane crashes,kenmore air crash,kenmore air,kenmore air airplane crash","./explore?q=kenmore%20air%20plane%20crashes&geo=US"
"linda mcmahon","1K+","July 24, 2026 at 6:30:00 AM UTC-4",,"linda mcmahon","./explore?q=linda%20mcmahon&geo=US"
"fda cyclospora parasite outbreak","20K+","July 23, 2026 at 3:20:00 PM UTC-4","July 24, 2026 at 8:00:00 AM UTC-4","fda cyclospora parasite outbreak,taco bell deals,new cyclospora outbreak,health,fda cyclosporiasis outbreak 72 cases","./explore?q=fda%20cyclospora%20parasite%20outbreak&geo=US"
"kathy hochul","1K+","July 24, 2026 at 6:40:00 AM UTC-4",,"kathy hochul","./explore?q=kathy%20hochul&geo=US"
"ransom","20K+","July 23, 2026 at 12:40:00 PM UTC-4","July 23, 2026 at 10:50:00 PM UTC-4","ransom,nancy guthrie","./explore?q=ransom&geo=US"
"king faisal air base strike","10K+","July 23, 2026 at 10:50:00 AM UTC-4","July 23, 2026 at 9:50:00 PM UTC-4","king faisal air base strike","./explore?q=king%20faisal%20air%20base%20strike&geo=US"
"emmett till","2K+","July 23, 2026 at 10:10:00 PM UTC-4","July 24, 2026 at 8:50:00 AM UTC-4","emmett till","./explore?q=emmett%20till&geo=US"
"adrien broner","5K+","July 23, 2026 at 8:50:00 PM UTC-4","July 24, 2026 at 3:20:00 AM UTC-4","adrien broner","./explore?q=adrien%20broner&geo=US"
"trump administration penn legal dispute","5K+","July 23, 2026 at 5:20:00 PM UTC-4","July 23, 2026 at 10:50:00 PM UTC-4","trump administration penn legal dispute","./explore?q=trump%20administration%20penn%20legal%20dispute&geo=US"
"cap ferret","500+","July 24, 2026 at 6:40:00 AM UTC-4","July 24, 2026 at 8:30:00 AM UTC-4","cap ferret","./explore?q=cap%20ferret&geo=US"
"banana ball","5K+","July 23, 2026 at 7:20:00 PM UTC-4","July 23, 2026 at 10:00:00 PM UTC-4","banana ball,savannah bananas,banana","./explore?q=banana%20ball&geo=US"
"july 24","500+","July 24, 2026 at 6:10:00 AM UTC-4","July 24, 2026 at 8:30:00 AM UTC-4","july 24","./explore?q=july%2024&geo=US"
"el nino forecast","2K+","July 23, 2026 at 4:30:00 PM UTC-4","July 23, 2026 at 11:00:00 PM UTC-4","el nino forecast","./explore?q=el%20nino%20forecast&geo=US"
"kennewick fire","500+","July 24, 2026 at 1:20:00 AM UTC-4","July 24, 2026 at 3:30:00 AM UTC-4","kennewick fire","./explore?q=kennewick%20fire&geo=US"
"internet","500+","July 24, 2026 at 3:00:00 AM UTC-4","July 24, 2026 at 5:00:00 AM UTC-4","internet","./explore?q=internet&geo=US"
"money","500+","July 24, 2026 at 3:10:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","money","./explore?q=money&geo=US"
"travel weather","500+","July 24, 2026 at 3:10:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","travel weather,weather travel","./explore?q=travel%20weather&geo=US"
"james outman","1K+","July 23, 2026 at 8:50:00 PM UTC-4","July 23, 2026 at 10:20:00 PM UTC-4","james outman","./explore?q=james%20outman&geo=US"
"startup","200+","July 24, 2026 at 3:20:00 AM UTC-4","July 24, 2026 at 4:40:00 AM UTC-4","startup","./explore?q=startup&geo=US"
"daycare","200+","July 24, 2026 at 3:40:00 AM UTC-4","July 24, 2026 at 4:40:00 AM UTC-4","daycare","./explore?q=daycare&geo=US"
"energy","1K+","July 24, 2026 at 3:50:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","energy,ratepayer protection pledge","./explore?q=energy&geo=US"
"weather sleep","200+","July 24, 2026 at 3:40:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","weather sleep","./explore?q=weather%20sleep&geo=US"
"sleep news","200+","July 24, 2026 at 3:50:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","sleep news","./explore?q=sleep%20news&geo=US"
"car weather","200+","July 24, 2026 at 3:50:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","car weather","./explore?q=car%20weather&geo=US"
"ty lawson","500+","July 23, 2026 at 4:00:00 PM UTC-4","July 23, 2026 at 5:10:00 PM UTC-4","ty lawson","./explore?q=ty%20lawson&geo=US"
"fields medal 2026","500+","July 23, 2026 at 9:50:00 AM UTC-4","July 23, 2026 at 11:00:00 AM UTC-4","fields medal 2026","./explore?q=fields%20medal%202026&geo=US"
