"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"john roberts independent agency rulings","20K+","July 23, 2026 at 1:50:00 PM UTC-4",,"john roberts independent agency rulings","./explore?q=john%20roberts%20independent%20agency%20rulings&geo=US"
"senate war powers vote","20K+","July 23, 2026 at 5:10:00 PM UTC-4",,"senate war powers vote,congress iran war,iran war powers resolution","./explore?q=senate%20war%20powers%20vote&geo=US"
"joe manchin independent leadership council","2K+","July 24, 2026 at 7:30:00 AM UTC-4",,"joe manchin independent leadership council","./explore?q=joe%20manchin%20independent%20leadership%20council&geo=US"
"gop internal criticism jd vance","2K+","July 24, 2026 at 7:20:00 AM UTC-4",,"gop internal criticism jd vance","./explore?q=gop%20internal%20criticism%20jd%20vance&geo=US"
"karoline leavitt john thune dispute","10K+","July 23, 2026 at 6:20:00 PM UTC-4",,"karoline leavitt john thune dispute,karoline leavitt","./explore?q=karoline%20leavitt%20john%20thune%20dispute&geo=US"
"trump iran","20K+","July 23, 2026 at 11:40:00 AM UTC-4","July 23, 2026 at 7:50:00 PM UTC-4","trump iran","./explore?q=trump%20iran&geo=US"
"senate banking committee trump nominees","10K+","July 23, 2026 at 2:40:00 PM UTC-4","July 23, 2026 at 10:40:00 PM UTC-4","senate banking committee trump nominees","./explore?q=senate%20banking%20committee%20trump%20nominees&geo=US"
"laura loomer","1K+","July 24, 2026 at 6:20:00 AM UTC-4","July 24, 2026 at 8:40:00 AM UTC-4","laura loomer","./explore?q=laura%20loomer&geo=US"
"pinky herman","500+","July 24, 2026 at 9:00:00 AM UTC-4","July 24, 2026 at 9:20:00 AM UTC-4","pinky herman","./explore?q=pinky%20herman&geo=US"
"california mail ballot rejections","2K+","July 23, 2026 at 10:10:00 PM UTC-4","July 24, 2026 at 1:00:00 AM UTC-4","california mail ballot rejections","./explore?q=california%20mail%20ballot%20rejections&geo=US"
"kash patel","5K+","July 23, 2026 at 5:00:00 PM UTC-4","July 23, 2026 at 7:20:00 PM UTC-4","kash patel","./explore?q=kash%20patel&geo=US"
"us israel military merger","5K+","July 23, 2026 at 10:20:00 AM UTC-4","July 23, 2026 at 3:30:00 PM UTC-4","us israel military merger","./explore?q=us%20israel%20military%20merger&geo=US"
"truth social post access trading","2K+","July 23, 2026 at 9:40:00 AM UTC-4","July 23, 2026 at 12:40:00 PM UTC-4","truth social post access trading","./explore?q=truth%20social%20post%20access%20trading&geo=US"
"budget","500+","July 24, 2026 at 3:10:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","budget","./explore?q=budget&geo=US"
"markwayne mullin","2K+","July 23, 2026 at 1:00:00 PM UTC-4","July 23, 2026 at 3:00:00 PM UTC-4","markwayne mullin","./explore?q=markwayne%20mullin&geo=US"
