"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"diego pavia","50K+","July 23, 2026 at 4:10:00 PM UTC-4",,"diego pavia","./explore?q=diego%20pavia&geo=US"
"royals vs tigers","50K+","July 23, 2026 at 5:50:00 PM UTC-4",,"royals vs tigers,tigers,royals,troy melton","./explore?q=royals%20vs%20tigers&geo=US"
"argentina national football team","10K+","July 24, 2026 at 6:10:00 AM UTC-4",,"argentina national football team","./explore?q=argentina%20national%20football%20team&geo=US"
"shannon jackson","20K+","July 23, 2026 at 3:50:00 PM UTC-4",,"shannon jackson,anthony edwards,anthony edwards married,minnesota timberwolves anthony edwards marriage","./explore?q=shannon%20jackson&geo=US"
"hulk hogan","10K+","July 23, 2026 at 5:30:00 PM UTC-4",,"hulk hogan","./explore?q=hulk%20hogan&geo=US"
"3m open leaderboard","5K+","July 23, 2026 at 2:00:00 PM UTC-4",,"3m open leaderboard","./explore?q=3m%20open%20leaderboard&geo=US"
"barcelona","5K+","July 24, 2026 at 1:50:00 AM UTC-4",,"barcelona,fc barcelona","./explore?q=barcelona&geo=US"
"jurgen klopp","2K+","July 24, 2026 at 6:30:00 AM UTC-4",,"jurgen klopp","./explore?q=jurgen%20klopp&geo=US"
"hendrick motorsports","10K+","July 24, 2026 at 5:00:00 AM UTC-4",,"hendrick motorsports,alex bowman","./explore?q=hendrick%20motorsports&geo=US"
"kayla mcbride wnba invitation comments","2K+","July 24, 2026 at 5:30:00 AM UTC-4",,"kayla mcbride wnba invitation comments","./explore?q=kayla%20mcbride%20wnba%20invitation%20comments&geo=US"
"wnba all star game","5K+","July 23, 2026 at 7:00:00 PM UTC-4",,"wnba all star game","./explore?q=wnba%20all%20star%20game&geo=US"
"diamondbacks vs cardinals","50K+","July 23, 2026 at 5:00:00 PM UTC-4","July 24, 2026 at 8:10:00 AM UTC-4","diamondbacks vs cardinals","./explore?q=diamondbacks%20vs%20cardinals&geo=US"
"bruno betancor","1K+","July 24, 2026 at 7:50:00 AM UTC-4",,"bruno betancor","./explore?q=bruno%20betancor&geo=US"
"chicago blackhawks patrick kane","5K+","July 24, 2026 at 8:50:00 AM UTC-4",,"chicago blackhawks patrick kane,patrick kane chicago blackhawks,patrick kane stats,patrick kane age,kane","./explore?q=chicago%20blackhawks%20patrick%20kane&geo=US"
"brianna turner","10K+","July 23, 2026 at 3:00:00 PM UTC-4","July 24, 2026 at 7:20:00 AM UTC-4","brianna turner","./explore?q=brianna%20turner&geo=US"
"paula badosa","1K+","July 24, 2026 at 7:50:00 AM UTC-4","July 24, 2026 at 9:20:00 AM UTC-4","paula badosa","./explore?q=paula%20badosa&geo=US"
"nic scourton","10K+","July 23, 2026 at 11:40:00 AM UTC-4","July 23, 2026 at 9:40:00 PM UTC-4","nic scourton","./explore?q=nic%20scourton&geo=US"
"yannick hanfmann","1K+","July 24, 2026 at 6:40:00 AM UTC-4","July 24, 2026 at 8:50:00 AM UTC-4","yannick hanfmann","./explore?q=yannick%20hanfmann&geo=US"
"adam schefter lebron text message","10K+","July 23, 2026 at 10:50:00 AM UTC-4","July 23, 2026 at 8:20:00 PM UTC-4","adam schefter lebron text message","./explore?q=adam%20schefter%20lebron%20text%20message&geo=US"
"joe mixon","10K+","July 23, 2026 at 10:00:00 AM UTC-4","July 24, 2026 at 7:30:00 AM UTC-4","joe mixon","./explore?q=joe%20mixon&geo=US"
"marie bouzkova","1K+","July 24, 2026 at 7:50:00 AM UTC-4","July 24, 2026 at 9:10:00 AM UTC-4","marie bouzkova,hugo gaston,jaime faria","./explore?q=marie%20bouzkova&geo=US"
"ausl","10K+","July 23, 2026 at 9:10:00 PM UTC-4","July 24, 2026 at 1:50:00 AM UTC-4","ausl,ausl softball","./explore?q=ausl&geo=US"
"anna bondar","1K+","July 24, 2026 at 5:10:00 AM UTC-4","July 24, 2026 at 7:40:00 AM UTC-4","anna bondar","./explore?q=anna%20bondar&geo=US"
"boca vs o'higgins","5K+","July 23, 2026 at 7:50:00 PM UTC-4","July 23, 2026 at 11:20:00 PM UTC-4","boca vs o'higgins,boca juniors","./explore?q=boca%20vs%20o%27higgins&geo=US"
"cfl","5K+","July 23, 2026 at 9:20:00 PM UTC-4","July 24, 2026 at 12:50:00 AM UTC-4","cfl,edmonton elks,cfl scores,elks vs roughriders","./explore?q=cfl&geo=US"
